sample_id,hole_id,from_ft,to_ft,from_m,to_m,description,qaqc,source_samples,ag_ppm,ag_ppm(2),al_%,as_ppm,au_ppm,au_ppm(2),ba_ppm,be_ppm,bi_ppm,ca_%,cd_ppm,ce_ppm,co_ppm,cr_ppm,cs_ppm,cu_%,cu_ppm,fe_%,ga_ppm,ge_ppm,hf_ppm,in_ppm,k_%,la_ppm,li_ppm,mg_%,mn_ppm,mo_ppm,na_%,nb_ppm,ni_ppm,p_ppm,pb_%,pb_ppm,rb_ppm,re_ppm,recvd_wt._kg,s_%,sb_ppm,sc_ppm,se_ppm,sn_ppm,sn_ppm(2),source_assays,sr_ppm,ta_ppm,te_ppm,th_ppm,ti_%,tl_ppm,u_ppm,v_ppm,w_ppm,y_ppm,zn_%,zn_ppm,zr_ppm
E571236,KM-22-71A,1759.0,1764.0,536.1,537.7,"medium gray schist, silicification, quartz-dolomite and black chlorite, no mineralization",0,KM-22-71A.xlsx,<1,0.0,5.03,520,0.032,0.0,80,<10,<20,3.60,<10,0.0,<10,<10,0,0.0,10,3.6,<50,0.0,0,0.0,0.4,<50,0.0,6.23,1910,<10,0.11,0,<10,<50,0.0,<20,0,0,5.62,<0.05,<50,10,0,0.0,0,TU22125500.csv,40,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,120,0.0
E571237,KM-22-71A,1764.0,1769.0,537.7,539.2,"medium gray schist, silicification, quartz-dolomite and black chlorite, no mineralization",0,KM-22-71A.xlsx,<1,0.0,4.20,3330,0.240,0.0,50,<10,<20,3.24,<10,0.0,<10,<10,0,0.0,240,3.45,<50,0.0,0,0.0,0.2,<50,0.0,5.67,1900,<10,0.07,0,<10,<50,0.0,20,0,0,5.71,0.20,80,10,0,0.0,0,TU22125500.csv,30,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,110,0.0
E571238,KM-22-71A,1769.0,1774.0,539.2,540.7,"medium gray schist, silicification, quartz-dolomite and black chlorite, no mineralization",0,KM-22-71A.xlsx,<1,0.0,5.62,980,0.040,0.0,<50,<10,<20,4.45,<10,0.0,10,<10,0,0.0,<10,4.43,<50,0.0,0,0.0,0.2,<50,0.0,8.52,2030,<10,0.06,0,<10,<50,0.0,<20,0,0,5.69,0.07,<50,10,0,0.0,0,TU22125500.csv,40,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,130,0.0
E571239,KM-22-71A,1774.0,1778.0,540.7,541.9,"medium gray schist, silicification, quartz-dolomite and black chlorite, no mineralization",0,KM-22-71A.xlsx,<1,0.0,4.57,1230,0.051,0.0,70,<10,<20,4.75,<10,0.0,<10,<10,0,0.0,20,3.75,<50,0.0,0,0.0,0.3,<50,0.0,6.94,1980,<10,0.06,0,<10,<50,0.0,<20,0,0,4.58,0.11,<50,10,0,0.0,0,TU22125500.csv,50,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,140,0.0
E571241,KM-22-71A,1778.0,1782.0,541.9,543.2,"medium gray schist, silicification, quartz-dolomite and black chlorite, trace pyrite",0,KM-22-71A.xlsx,1,0.0,4.25,810,0.040,0.0,<50,<10,<20,2.86,<10,0.0,10,<10,0,0.0,210,4.47,<50,0.0,0,0.0,0.2,<50,0.0,5.88,1280,<10,<0.05,0,<10,<50,0.0,40,0,0,4.56,0.18,110,10,0,0.0,0,TU22125500.csv,40,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,650,0.0
E571242,KM-22-71A,1782.0,1785.0,543.2,544.1,"medium gray schist, silicification, quartz-dolomite and black chlorite, 1% pyrite",0,KM-22-71A.xlsx,5,0.0,4.27,680,0.054,0.0,<50,<10,20,2.54,<10,0.0,10,<10,0,0.0,1170,5.44,<50,0.0,0,0.0,0.2,<50,0.0,5.73,1520,<10,<0.05,0,<10,<50,0.0,40,0,0,3.54,0.38,430,10,0,0.0,0,TU22125500.csv,30,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,850,0.0
E571243,KM-22-71A,1785.0,1790.0,544.1,545.6,"medium gray schist, silicification, quartz-dolomite and black chlorite, no mineralization",0,KM-22-71A.xlsx,<1,0.0,3.88,160,0.024,0.0,50,<10,<20,0.97,<10,0.0,10,10,0,0.0,50,3.96,<50,0.0,0,0.0,0.2,<50,0.0,4.37,740,<10,<0.05,0,<10,<50,0.0,<20,0,0,5.91,0.05,<50,10,0,0.0,0,TU22125500.csv,20,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,280,0.0
E571244,KM-22-71A,1790.0,1795.0,545.6,547.1,"medium gray schist, silicification, quartz-dolomite and black chlorite, trace tetrahedrite",0,KM-22-71A.xlsx,1,0.0,3.56,520,0.080,0.0,50,<10,<20,0.68,<10,0.0,10,10,0,0.0,230,3.7,<50,0.0,0,0.0,0.2,<50,0.0,3.48,510,<10,<0.05,0,<10,<50,0.0,40,0,0,5.44,0.11,150,10,0,0.0,0,TU22125500.csv,20,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,350,0.0
E571245,KM-22-71A,1795.0,1799.0,547.1,548.3,"medium gray schist, silicification, quartz-dolomite and black chlorite, no mineralization",0,KM-22-71A.xlsx,1,0.0,3.57,310,0.035,0.0,90,<10,<20,0.60,<10,0.0,<10,10,0,0.0,400,3.7,<50,0.0,0,0.0,0.4,<50,0.0,3.1,600,<10,0.05,0,<10,<50,0.0,20,0,0,4.72,0.11,140,10,0,0.0,0,TU22125500.csv,20,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,270,0.0
E571246,KM-22-71A,1799.0,1804.0,548.3,549.9,"stringer in dark gray schist, silicification, quartz-dolomite and black chlorite, 5% chalcopyrite, 1% pyrite",0,KM-22-71A.xlsx,7,0.0,3.43,1480,0.152,0.0,110,<10,40,1.03,10,0.0,20,10,0,0.0,4670,4.16,<50,0.0,0,0.0,0.6,<50,0.0,2.9,680,<10,0.10,0,<10,260,0.0,50,0,0,4.77,0.83,280,10,0,0.0,0,TU22125500.csv,20,0,0.0,<50,0.06,<50,<50,20,<50,0.0,0,1660,0.0
E571247,KM-22-71A,1804.0,1809.0,549.9,551.4,"dark gray schist, silicification, quartz-dolomite, no mineralization",0,KM-22-71A.xlsx,1,0.0,3.41,150,0.030,0.0,60,<10,<20,0.66,<10,0.0,<10,10,0,0.0,470,3.57,<50,0.0,0,0.0,0.2,<50,0.0,3.3,660,<10,<0.05,0,<10,<50,0.0,30,0,0,5.71,0.11,<50,<10,0,0.0,0,TU22125500.csv,10,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,270,0.0
E571248,KM-22-71A,1809.0,1812.0,551.4,552.3,"dark gray schist, silicification, quartz-dolomite, trace chalcopyrite",0,KM-22-71A.xlsx,1,0.0,3.18,210,0.025,0.0,50,<10,<20,0.60,<10,0.0,10,10,0,0.0,1160,3.65,<50,0.0,0,0.0,0.1,<50,0.0,3.19,620,<10,<0.05,0,<10,<50,0.0,40,0,0,3.82,0.20,<50,<10,0,0.0,0,TU22125500.csv,20,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,380,0.0
E571249,KM-22-71A,1812.0,1815.0,552.3,553.2,"dark gray schist, silicification, quartz-dolomite, 0.5% chalcopyrite, trace pyrite",0,KM-22-71A.xlsx,1,0.0,3.51,60,0.009,0.0,60,<10,<20,0.26,<10,0.0,<10,10,0,0.0,250,3.99,<50,0.0,0,0.0,0.2,<50,0.0,3.02,390,<10,<0.05,0,<10,<50,0.0,20,0,0,3.87,0.10,<50,<10,0,0.0,0,TU22125500.csv,20,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,310,0.0
E571251,KM-22-71A,1815.0,1818.5,553.2,554.3,"dark gray schist, silicification, quartz-dolomite, trace chalcopyrite",0,KM-22-71A.xlsx,3,0.0,3.50,780,0.072,0.0,70,<10,<20,1.24,<10,0.0,20,10,0,0.0,1840,3.93,<50,0.0,0,0.0,0.3,<50,0.0,3.05,790,<10,0.07,0,<10,<50,0.0,100,0,0,3.29,0.41,<50,<10,0,0.0,0,TU22125500.csv,20,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,500,0.0
E571252,KM-22-71A,1818.5,1823.5,554.3,555.8,"stringer in dark gray schist, silicification, quartz-dolomite and black chlorite, 3% chalcopyrite, 3% pyrite",0,KM-22-71A.xlsx,10,0.0,3.40,960,0.138,0.0,50,<10,<20,4.70,10,0.0,10,10,0,0.0,4970,5.7,<50,0.0,0,0.0,0.2,<50,0.0,4.68,2600,<10,0.05,0,<10,<50,0.0,630,0,0,5.6,1.54,<50,<10,0,0.0,0,TU22125500.csv,40,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,2490,0.0
E571253,KM-22-71A,1823.5,1827.0,555.8,556.9,"stringer in dark gray schist, silicification, quartz-dolomite and black chlorite, 10% chalcopyrite, 5% pyrite",0,KM-22-71A.xlsx,15,0.0,4.30,470,0.150,0.0,60,<10,20,4.25,10,0.0,10,10,0,0.0,12350,7.85,<50,0.0,0,0.0,0.3,<50,0.0,5.49,2660,<10,0.08,0,<10,<50,0.0,1190,0,0,4.22,2.67,<50,10,0,0.0,0,TU22125500.csv,30,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,2330,0.0
E571254,KM-22-71A,1827.0,1829.5,556.9,557.6,"dark gray schist, silicification, black chlorite, 1% chalcopyrite, 1% pyrite",0,KM-22-71A.xlsx,2,0.0,4.40,360,0.058,0.0,<50,<10,<20,1.41,<10,0.0,10,10,0,0.0,1870,5.72,<50,0.0,0,0.0,0.1,<50,0.0,4.46,1050,<10,<0.05,0,<10,<50,0.0,60,0,0,3.11,0.51,<50,10,0,0.0,0,TU22125500.csv,20,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,1030,0.0
E571255,KM-22-71A,1829.5,1833.5,557.6,558.8,"stringer in dark gray schist, silicification, quartz and black chlorite, 1% chalcopyrite, 1% pyrite",0,KM-22-71A.xlsx,2,0.0,4.91,420,0.060,0.0,330,<10,<20,2.46,10,0.0,30,10,0,0.0,1450,6.91,<50,0.0,0,0.0,0.9,<50,0.0,3.54,1170,<10,0.16,0,10,290,0.0,130,0,0,5.04,1.28,<50,20,0,0.0,0,TU22125500.csv,30,0,0.0,<50,0.11,<50,<50,160,<50,0.0,0,3320,0.0
E571256,KM-22-71A,1833.5,1837.0,558.8,559.9,"stringer in black chlorite altered schist, 1% chalcopyrite, 15% pyrite, 5% sphalerite",0,KM-22-71A.xlsx,23,0.0,7.02,6830,0.894,0.0,<50,<10,80,2.04,60,0.0,30,<10,0,0.0,2890,13.05,<50,0.0,0,0.0,<0.1,<50,0.0,8.62,2020,<10,<0.05,0,<10,60,0.0,4230,0,0,4.37,3.32,<50,10,0,0.0,0,TU22125500.csv,20,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,16450,0.0
E571257,KM-22-71A,1837.0,1842.0,559.9,561.4,"dark gray schist, silicification, quartz-dolomite and black chlorite, 0.1% pyrite",0,KM-22-71A.xlsx,9,0.0,4.37,100,0.070,0.0,<50,<10,<20,5.24,40,0.0,<10,<10,0,0.0,700,5.89,<50,0.0,0,0.0,0.1,<50,0.0,6.51,1730,<10,<0.05,0,<10,<50,0.0,5680,0,0,6.37,1.05,<50,10,0,0.0,0,TU22125500.csv,40,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,11150,0.0
E571258,KM-22-71A,1842.0,1846.0,561.4,562.7,"dark gray schist, silicification, quartz-dolomite and black chlorite, 1% chalcopyrite, 3% pyrite",0,KM-22-71A.xlsx,11,0.0,5.14,1120,0.088,0.0,<50,<10,<20,9.79,<10,0.0,20,20,0,0.0,3770,8.44,<50,0.0,0,0.0,0.1,<50,0.0,9.74,3010,<10,0.27,0,10,110,0.0,610,0,0,4.65,2.03,80,10,0,0.0,0,TU22125500.csv,80,0,0.0,<50,0.09,<50,<50,20,<50,0.0,0,740,0.0
E571259,KM-22-71A,1846.0,1851.0,562.7,564.2,"dark gray schist, silicification, quartz-dolomite and black chlorite, no mineralization",0,KM-22-71A.xlsx,2,0.0,5.95,360,0.020,0.0,50,<10,<20,6.46,<10,0.0,10,10,0,0.0,200,6.66,<50,0.0,0,0.0,0.1,<50,0.0,8.97,2100,<10,0.14,0,10,70,0.0,560,0,0,5.87,0.18,<50,10,0,0.0,0,TU22125500.csv,80,0,0.0,<50,0.06,<50,<50,10,<50,0.0,0,930,0.0
